transaction_date,weather_temp_max_c,weather_temp_min_c,weather_temp_mean_c,weather_precipitation_mm,weather_rain_mm,weather_snowfall_mm,weather_wind_speed_max_kmh,weather_source,weather_is_real
2023-01-01,11.9,4.9,9.0,2.1,2.1,0.0,17.4,Open-Meteo Historical Weather API,1
2023-01-02,12.9,4.6,7.9,0.5,0.5,0.0,9.0,Open-Meteo Historical Weather API,1
2023-01-03,12.9,6.3,9.5,9.5,9.5,0.0,19.4,Open-Meteo Historical Weather API,1
2023-01-04,18.0,9.6,13.1,2.3,2.3,0.0,18.2,Open-Meteo Historical Weather API,1
2023-01-05,13.1,7.4,10.0,0.0,0.0,0.0,12.1,Open-Meteo Historical Weather API,1
2023-01-06,8.7,3.3,6.2,9.6,9.6,0.0,16.3,Open-Meteo Historical Weather API,1
2023-01-07,8.2,0.5,3.7,0.0,0.0,0.0,20.2,Open-Meteo Historical Weather API,1
2023-01-08,4.2,-2.3,1.4,0.0,0.0,0.0,13.7,Open-Meteo Historical Weather API,1
2023-01-09,7.2,0.8,3.1,1.5,1.2,0.21,17.9,Open-Meteo Historical Weather API,1
2023-01-10,6.3,0.1,2.7,0.0,0.0,0.0,14.6,Open-Meteo Historical Weather API,1
2023-01-11,3.9,-1.1,1.0,0.0,0.0,0.0,13.8,Open-Meteo Historical Weather API,1
2023-01-12,9.8,-0.6,5.3,11.9,11.9,0.0,21.0,Open-Meteo Historical Weather API,1
2023-01-13,12.7,3.1,9.3,1.6,1.6,0.0,27.1,Open-Meteo Historical Weather API,1
2023-01-14,2.9,-0.5,1.0,0.0,0.0,0.0,26.3,Open-Meteo Historical Weather API,1
2023-01-15,5.2,-1.7,0.7,0.0,0.0,0.0,33.8,Open-Meteo Historical Weather API,1
2023-01-16,8.2,-2.3,1.6,0.0,0.0,0.0,26.3,Open-Meteo Historical Weather API,1
2023-01-17,7.4,-2.0,2.5,1.4,1.4,0.0,13.3,Open-Meteo Historical Weather API,1
2023-01-18,10.8,3.0,6.7,1.7,1.7,0.0,25.5,Open-Meteo Historical Weather API,1
2023-01-19,5.7,2.4,4.0,23.5,23.5,0.0,16.3,Open-Meteo Historical Weather API,1
2023-01-20,9.0,1.9,5.4,0.6,0.6,0.0,30.7,Open-Meteo Historical Weather API,1
2023-01-21,6.2,-1.9,2.8,0.2,0.2,0.0,19.9,Open-Meteo Historical Weather API,1
2023-01-22,5.6,-3.4,1.4,5.4,5.4,0.0,15.8,Open-Meteo Historical Weather API,1
2023-01-23,3.0,1.2,2.5,16.9,16.5,0.28,25.0,Open-Meteo Historical Weather API,1
2023-01-24,7.8,-1.0,2.3,0.0,0.0,0.0,27.7,Open-Meteo Historical Weather API,1
2023-01-25,10.6,-2.4,2.2,20.0,19.4,0.42,44.7,Open-Meteo Historical Weather API,1
2023-01-26,11.9,3.0,7.5,14.5,14.5,0.0,36.0,Open-Meteo Historical Weather API,1
2023-01-27,6.2,-1.5,2.2,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-01-28,10.9,-0.8,4.4,0.0,0.0,0.0,23.8,Open-Meteo Historical Weather API,1
2023-01-29,10.5,0.2,5.6,0.0,0.0,0.0,22.5,Open-Meteo Historical Weather API,1
2023-01-30,11.7,2.5,6.1,0.0,0.0,0.0,13.2,Open-Meteo Historical Weather API,1
2023-01-31,6.5,0.5,3.4,2.5,1.9,0.42,19.1,Open-Meteo Historical Weather API,1
2023-02-01,3.2,-3.2,-0.6,1.6,0.0,1.12,16.5,Open-Meteo Historical Weather API,1
2023-02-02,4.1,-4.4,-0.2,0.0,0.0,0.0,19.1,Open-Meteo Historical Weather API,1
2023-02-03,0.3,-10.6,-4.4,0.0,0.0,0.0,42.2,Open-Meteo Historical Weather API,1
2023-02-04,-3.8,-16.5,-9.5,0.0,0.0,0.0,39.8,Open-Meteo Historical Weather API,1
2023-02-05,9.1,-4.7,1.4,0.0,0.0,0.0,19.1,Open-Meteo Historical Weather API,1
2023-02-06,10.2,-0.9,4.2,0.0,0.0,0.0,29.2,Open-Meteo Historical Weather API,1
2023-02-07,3.7,-4.1,0.4,2.6,2.4,0.14,21.6,Open-Meteo Historical Weather API,1
2023-02-08,10.4,1.1,4.8,0.7,0.7,0.0,22.5,Open-Meteo Historical Weather API,1
2023-02-09,11.1,-1.8,4.7,0.0,0.0,0.0,20.9,Open-Meteo Historical Weather API,1
2023-02-10,14.1,6.0,11.2,0.0,0.0,0.0,28.1,Open-Meteo Historical Weather API,1
2023-02-11,6.8,0.4,3.7,0.0,0.0,0.0,23.5,Open-Meteo Historical Weather API,1
2023-02-12,6.8,-0.6,2.8,0.8,0.2,0.42,18.7,Open-Meteo Historical Weather API,1
2023-02-13,13.4,2.5,6.6,1.8,1.3,0.35,23.9,Open-Meteo Historical Weather API,1
2023-02-14,11.4,2.5,6.3,0.0,0.0,0.0,23.2,Open-Meteo Historical Weather API,1
2023-02-15,17.0,3.0,10.2,0.0,0.0,0.0,26.9,Open-Meteo Historical Weather API,1
2023-02-16,19.2,9.2,12.7,2.9,2.9,0.0,17.6,Open-Meteo Historical Weather API,1
2023-02-17,15.4,0.3,9.7,8.1,8.1,0.0,33.8,Open-Meteo Historical Weather API,1
2023-02-18,5.8,-2.7,0.9,0.0,0.0,0.0,28.9,Open-Meteo Historical Weather API,1
2023-02-19,8.1,-0.3,4.0,0.0,0.0,0.0,29.8,Open-Meteo Historical Weather API,1
2023-02-20,15.4,5.6,9.0,0.0,0.0,0.0,25.3,Open-Meteo Historical Weather API,1
2023-02-21,8.4,2.0,4.4,7.1,6.5,0.42,17.8,Open-Meteo Historical Weather API,1
2023-02-22,5.6,-0.8,2.5,4.4,4.0,0.28,15.0,Open-Meteo Historical Weather API,1
2023-02-23,7.8,2.7,4.6,0.6,0.6,0.0,16.1,Open-Meteo Historical Weather API,1
2023-02-24,7.4,-2.1,3.9,0.0,0.0,0.0,35.3,Open-Meteo Historical Weather API,1
2023-02-25,0.2,-5.6,-3.0,0.7,0.0,0.49,19.8,Open-Meteo Historical Weather API,1
2023-02-26,10.2,-3.8,2.2,0.0,0.0,0.0,34.7,Open-Meteo Historical Weather API,1
2023-02-27,4.9,-2.2,1.6,3.8,0.1,2.59,23.7,Open-Meteo Historical Weather API,1
2023-02-28,2.2,-0.6,1.0,13.1,2.7,7.28,24.8,Open-Meteo Historical Weather API,1
2023-03-01,5.8,-2.5,1.9,3.4,0.9,1.75,22.0,Open-Meteo Historical Weather API,1
2023-03-02,13.8,2.2,6.8,1.5,1.5,0.0,23.2,Open-Meteo Historical Weather API,1
2023-03-03,7.5,-1.5,3.3,2.8,2.8,0.0,30.4,Open-Meteo Historical Weather API,1
2023-03-04,7.2,3.2,5.4,41.8,41.8,0.0,38.4,Open-Meteo Historical Weather API,1
2023-03-05,12.2,-0.4,5.5,0.0,0.0,0.0,27.4,Open-Meteo Historical Weather API,1
2023-03-06,10.2,1.4,5.9,0.0,0.0,0.0,23.1,Open-Meteo Historical Weather API,1
2023-03-07,7.4,1.1,3.7,2.7,0.2,1.75,36.3,Open-Meteo Historical Weather API,1
2023-03-08,9.4,-2.1,2.9,0.0,0.0,0.0,34.6,Open-Meteo Historical Weather API,1
2023-03-09,10.4,-0.5,4.3,0.0,0.0,0.0,22.3,Open-Meteo Historical Weather API,1
2023-03-10,7.4,-1.2,3.3,7.3,7.3,0.0,16.8,Open-Meteo Historical Weather API,1
2023-03-11,7.0,1.8,4.2,13.1,11.2,1.33,25.8,Open-Meteo Historical Weather API,1
2023-03-12,7.8,-1.0,3.4,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-03-13,5.9,3.7,4.7,16.7,16.7,0.0,20.5,Open-Meteo Historical Weather API,1
2023-03-14,3.4,1.1,2.1,12.2,8.0,2.94,44.3,Open-Meteo Historical Weather API,1
2023-03-15,7.1,0.9,3.3,0.0,0.0,0.0,38.7,Open-Meteo Historical Weather API,1
2023-03-16,13.4,-1.3,5.5,0.0,0.0,0.0,19.9,Open-Meteo Historical Weather API,1
2023-03-17,14.4,2.5,8.5,0.0,0.0,0.0,22.2,Open-Meteo Historical Weather API,1
2023-03-18,11.1,3.0,7.6,0.7,0.7,0.0,26.1,Open-Meteo Historical Weather API,1
2023-03-19,3.8,-2.8,1.2,0.0,0.0,0.0,27.3,Open-Meteo Historical Weather API,1
2023-03-20,10.7,-3.2,3.2,0.0,0.0,0.0,17.8,Open-Meteo Historical Weather API,1
2023-03-21,15.8,-0.9,7.4,0.0,0.0,0.0,20.1,Open-Meteo Historical Weather API,1
2023-03-22,13.3,2.3,7.8,0.0,0.0,0.0,23.1,Open-Meteo Historical Weather API,1
2023-03-23,14.9,5.2,10.7,2.8,2.8,0.0,24.5,Open-Meteo Historical Weather API,1
2023-03-24,13.1,5.7,8.7,0.2,0.2,0.0,19.1,Open-Meteo Historical Weather API,1
2023-03-25,7.5,3.0,5.6,11.5,11.5,0.0,31.4,Open-Meteo Historical Weather API,1
2023-03-26,15.1,3.2,9.4,0.0,0.0,0.0,24.5,Open-Meteo Historical Weather API,1
2023-03-27,14.9,2.5,7.8,2.6,2.6,0.0,23.7,Open-Meteo Historical Weather API,1
2023-03-28,11.2,3.1,6.6,0.6,0.6,0.0,21.1,Open-Meteo Historical Weather API,1
2023-03-29,11.0,-0.1,5.3,0.0,0.0,0.0,24.2,Open-Meteo Historical Weather API,1
2023-03-30,7.6,-1.5,3.3,0.1,0.1,0.0,28.5,Open-Meteo Historical Weather API,1
2023-03-31,10.1,-0.8,6.0,0.0,0.0,0.0,29.4,Open-Meteo Historical Weather API,1
2023-04-01,19.7,9.6,14.9,10.1,10.1,0.0,26.7,Open-Meteo Historical Weather API,1
2023-04-02,10.6,3.2,6.9,0.0,0.0,0.0,35.3,Open-Meteo Historical Weather API,1
2023-04-03,13.4,-0.2,7.1,0.0,0.0,0.0,30.9,Open-Meteo Historical Weather API,1
2023-04-04,18.7,5.9,13.3,0.0,0.0,0.0,16.8,Open-Meteo Historical Weather API,1
2023-04-05,13.6,9.4,11.7,0.4,0.4,0.0,20.5,Open-Meteo Historical Weather API,1
2023-04-06,26.5,10.6,16.6,3.3,3.3,0.0,18.7,Open-Meteo Historical Weather API,1
2023-04-07,13.9,6.8,11.2,0.0,0.0,0.0,21.9,Open-Meteo Historical Weather API,1
2023-04-08,10.4,1.8,6.1,0.0,0.0,0.0,19.9,Open-Meteo Historical Weather API,1
2023-04-09,11.8,1.2,6.4,0.0,0.0,0.0,24.2,Open-Meteo Historical Weather API,1
2023-04-10,17.9,2.2,9.1,0.0,0.0,0.0,18.8,Open-Meteo Historical Weather API,1
2023-04-11,23.0,6.4,14.8,0.0,0.0,0.0,26.0,Open-Meteo Historical Weather API,1
2023-04-12,27.5,15.6,20.5,0.0,0.0,0.0,24.1,Open-Meteo Historical Weather API,1
2023-04-13,31.1,11.9,22.1,0.0,0.0,0.0,20.6,Open-Meteo Historical Weather API,1
2023-04-14,29.6,13.9,22.0,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-04-15,21.0,14.6,17.6,5.0,5.0,0.0,19.5,Open-Meteo Historical Weather API,1
2023-04-16,21.0,12.3,15.8,0.0,0.0,0.0,17.7,Open-Meteo Historical Weather API,1
2023-04-17,20.0,11.6,14.4,3.1,3.1,0.0,24.5,Open-Meteo Historical Weather API,1
2023-04-18,14.4,7.1,11.3,0.1,0.1,0.0,36.5,Open-Meteo Historical Weather API,1
2023-04-19,17.5,4.3,10.4,0.0,0.0,0.0,24.5,Open-Meteo Historical Weather API,1
2023-04-20,15.9,5.8,10.5,0.0,0.0,0.0,16.2,Open-Meteo Historical Weather API,1
2023-04-21,19.0,8.1,13.1,0.0,0.0,0.0,23.9,Open-Meteo Historical Weather API,1
2023-04-22,19.8,9.9,14.3,15.7,15.7,0.0,30.5,Open-Meteo Historical Weather API,1
2023-04-23,19.2,11.2,14.6,18.4,18.4,0.0,20.6,Open-Meteo Historical Weather API,1
2023-04-24,16.2,6.3,11.2,0.0,0.0,0.0,19.1,Open-Meteo Historical Weather API,1
2023-04-25,15.2,5.6,10.4,0.3,0.3,0.0,13.2,Open-Meteo Historical Weather API,1
2023-04-26,13.9,6.2,10.0,0.9,0.9,0.0,22.1,Open-Meteo Historical Weather API,1
2023-04-27,13.5,7.3,10.6,0.7,0.7,0.0,16.8,Open-Meteo Historical Weather API,1
2023-04-28,13.1,6.8,9.8,6.1,6.1,0.0,23.3,Open-Meteo Historical Weather API,1
2023-04-29,12.2,8.8,10.7,59.5,59.5,0.0,30.7,Open-Meteo Historical Weather API,1
2023-04-30,14.9,10.5,12.8,22.2,22.2,0.0,27.5,Open-Meteo Historical Weather API,1
2023-05-01,15.7,7.6,12.6,1.8,1.8,0.0,38.6,Open-Meteo Historical Weather API,1
2023-05-02,13.4,8.4,10.4,0.8,0.8,0.0,26.9,Open-Meteo Historical Weather API,1
2023-05-03,12.6,5.8,9.5,0.7,0.7,0.0,14.8,Open-Meteo Historical Weather API,1
2023-05-04,14.4,6.3,10.2,1.7,1.7,0.0,16.3,Open-Meteo Historical Weather API,1
2023-05-05,17.1,6.9,11.6,3.5,3.5,0.0,11.9,Open-Meteo Historical Weather API,1
2023-05-06,21.0,6.6,14.2,0.0,0.0,0.0,19.0,Open-Meteo Historical Weather API,1
2023-05-07,23.8,9.3,16.4,0.0,0.0,0.0,22.1,Open-Meteo Historical Weather API,1
2023-05-08,23.7,12.9,18.2,0.0,0.0,0.0,21.2,Open-Meteo Historical Weather API,1
2023-05-09,19.3,9.8,14.1,0.0,0.0,0.0,21.7,Open-Meteo Historical Weather API,1
2023-05-10,21.2,7.2,14.3,0.0,0.0,0.0,19.8,Open-Meteo Historical Weather API,1
2023-05-11,25.4,9.6,17.8,0.0,0.0,0.0,21.7,Open-Meteo Historical Weather API,1
2023-05-12,29.5,13.0,21.1,0.0,0.0,0.0,15.3,Open-Meteo Historical Weather API,1
2023-05-13,27.4,17.6,22.0,0.0,0.0,0.0,19.7,Open-Meteo Historical Weather API,1
2023-05-14,22.9,12.6,17.6,0.0,0.0,0.0,22.0,Open-Meteo Historical Weather API,1
2023-05-15,25.4,9.7,17.5,0.0,0.0,0.0,18.7,Open-Meteo Historical Weather API,1
2023-05-16,27.8,12.8,20.3,0.0,0.0,0.0,24.9,Open-Meteo Historical Weather API,1
2023-05-17,18.8,10.6,15.1,0.0,0.0,0.0,26.4,Open-Meteo Historical Weather API,1
2023-05-18,14.2,6.8,11.1,0.0,0.0,0.0,22.1,Open-Meteo Historical Weather API,1
2023-05-19,19.5,10.5,14.9,0.0,0.0,0.0,33.0,Open-Meteo Historical Weather API,1
2023-05-20,17.6,13.6,15.8,26.9,26.9,0.0,15.9,Open-Meteo Historical Weather API,1
2023-05-21,21.9,13.0,17.3,0.6,0.6,0.0,23.0,Open-Meteo Historical Weather API,1
2023-05-22,23.0,12.3,16.9,0.2,0.2,0.0,20.6,Open-Meteo Historical Weather API,1
2023-05-23,19.5,11.1,14.5,0.0,0.0,0.0,21.5,Open-Meteo Historical Weather API,1
2023-05-24,21.9,9.9,15.6,0.7,0.7,0.0,25.0,Open-Meteo Historical Weather API,1
2023-05-25,19.2,10.1,14.7,0.0,0.0,0.0,25.9,Open-Meteo Historical Weather API,1
2023-05-26,22.2,10.1,16.1,0.0,0.0,0.0,15.3,Open-Meteo Historical Weather API,1
2023-05-27,24.4,9.9,17.2,0.0,0.0,0.0,20.1,Open-Meteo Historical Weather API,1
2023-05-28,23.6,11.6,17.7,0.0,0.0,0.0,19.9,Open-Meteo Historical Weather API,1
2023-05-29,24.7,13.8,18.5,0.0,0.0,0.0,28.5,Open-Meteo Historical Weather API,1
2023-05-30,20.4,11.8,15.6,0.0,0.0,0.0,18.6,Open-Meteo Historical Weather API,1
2023-05-31,22.6,10.8,16.1,0.0,0.0,0.0,15.3,Open-Meteo Historical Weather API,1
2023-06-01,27.4,12.3,19.5,0.0,0.0,0.0,17.4,Open-Meteo Historical Weather API,1
2023-06-02,30.8,15.1,22.3,0.0,0.0,0.0,17.1,Open-Meteo Historical Weather API,1
2023-06-03,20.1,14.1,18.4,3.5,3.5,0.0,22.3,Open-Meteo Historical Weather API,1
2023-06-04,21.5,10.4,15.5,0.1,0.1,0.0,25.0,Open-Meteo Historical Weather API,1
2023-06-05,24.0,11.6,17.8,0.0,0.0,0.0,21.5,Open-Meteo Historical Weather API,1
2023-06-06,25.8,14.6,19.6,0.2,0.2,0.0,33.9,Open-Meteo Historical Weather API,1
2023-06-07,25.1,13.2,18.8,0.0,0.0,0.0,21.3,Open-Meteo Historical Weather API,1
2023-06-08,22.4,10.7,16.8,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
2023-06-09,22.9,11.7,16.9,0.9,0.9,0.0,20.0,Open-Meteo Historical Weather API,1
2023-06-10,26.4,12.3,19.1,0.2,0.2,0.0,18.1,Open-Meteo Historical Weather API,1
2023-06-11,27.1,16.4,21.3,0.0,0.0,0.0,18.6,Open-Meteo Historical Weather API,1
2023-06-12,24.0,19.2,21.0,8.5,8.5,0.0,27.0,Open-Meteo Historical Weather API,1
2023-06-13,26.4,16.1,21.0,0.0,0.0,0.0,21.6,Open-Meteo Historical Weather API,1
2023-06-14,24.7,14.9,18.5,9.5,9.5,0.0,24.1,Open-Meteo Historical Weather API,1
2023-06-15,26.2,15.0,20.4,0.0,0.0,0.0,20.4,Open-Meteo Historical Weather API,1
2023-06-16,25.9,15.1,19.2,10.8,10.8,0.0,18.8,Open-Meteo Historical Weather API,1
2023-06-17,25.5,14.8,20.0,0.1,0.1,0.0,31.6,Open-Meteo Historical Weather API,1
2023-06-18,26.5,15.8,21.4,0.0,0.0,0.0,19.2,Open-Meteo Historical Weather API,1
